2018-01-11 17:43:36.9675 DESKTOP-2Q89F24 12  ::1 FacadeBase Login Begin
2018-01-11 17:43:36.9865 DESKTOP-2Q89F24 12  ::1 FacadeBase Login End
2018-01-11 17:43:36.9975 DESKTOP-2Q89F24 13 SRS1 ::1 FacadeBase Authentication Begin
2018-01-11 17:43:36.9975 DESKTOP-2Q89F24 13 SRS1 ::1 FacadeBase Authentication End
2018-01-11 17:43:36.9975 DESKTOP-2Q89F24 13 SRS1 ::1 MenuFacade Init Begin
2018-01-11 17:43:37.0445 DESKTOP-2Q89F24 13 SRS1 ::1 MenuFacade Init End
2018-01-11 17:43:40.8709 DESKTOP-2Q89F24 8 SRS1 ::1 FacadeBase Authentication Begin
2018-01-11 17:43:40.8709 DESKTOP-2Q89F24 8 SRS1 ::1 FacadeBase Authentication End
2018-01-11 17:43:40.8709 DESKTOP-2Q89F24 8 SRS1 ::1 FacadeBase SecurityCheck Begin
2018-01-11 17:43:40.8729 DESKTOP-2Q89F24 8 SRS1 ::1 FacadeBase SecurityCheck End
2018-01-11 17:43:40.8729 DESKTOP-2Q89F24 8 SRS1 ::1 LoginFacade RegulationCheck Begin
2018-01-11 17:43:40.8729 DESKTOP-2Q89F24 8 SRS1 ::1 LoginFacade RegulationCheck End
2018-01-11 17:43:40.8729 DESKTOP-2Q89F24 8 SRS1 ::1 LoginFacade GetPermission Begin
2018-01-11 17:43:40.8729 DESKTOP-2Q89F24 8 SRS1 ::1 LoginFacade GetPermission End
2018-01-11 17:43:40.8729 DESKTOP-2Q89F24 8 SRS1 ::1 ZZ1031SearchFacade Index Begin
2018-01-11 17:43:40.9131 DESKTOP-2Q89F24 8 SRS1 ::1 ZZ1031SearchFacade Index End
2018-01-11 17:43:44.7009 DESKTOP-2Q89F24 9 SRS1 ::1 FacadeBase Authentication Begin
2018-01-11 17:43:44.7009 DESKTOP-2Q89F24 9 SRS1 ::1 FacadeBase Authentication End
2018-01-11 17:43:44.7009 DESKTOP-2Q89F24 9 SRS1 ::1 FacadeBase SecurityCheck Begin
2018-01-11 17:43:44.7009 DESKTOP-2Q89F24 9 SRS1 ::1 FacadeBase SecurityCheck End
2018-01-11 17:43:44.7009 DESKTOP-2Q89F24 9 SRS1 ::1 LoginFacade RegulationCheck Begin
2018-01-11 17:43:44.7009 DESKTOP-2Q89F24 9 SRS1 ::1 LoginFacade RegulationCheck End
2018-01-11 17:43:44.7009 DESKTOP-2Q89F24 9 SRS1 ::1 LoginFacade GetPermission Begin
2018-01-11 17:43:44.7009 DESKTOP-2Q89F24 9 SRS1 ::1 LoginFacade GetPermission End
2018-01-11 17:43:44.7009 DESKTOP-2Q89F24 9 SRS1 ::1 ZZ1031SearchFacade Search Begin
2018-01-11 17:43:44.7179 DESKTOP-2Q89F24 9 SRS1 ::1 ZZ1031SearchFacade Search End
2018-01-11 17:43:44.7539 DESKTOP-2Q89F24 9 SRS1 ::1 FacadeBase Authentication Begin
2018-01-11 17:43:44.7539 DESKTOP-2Q89F24 9 SRS1 ::1 FacadeBase Authentication End
2018-01-11 17:43:44.7539 DESKTOP-2Q89F24 9 SRS1 ::1 FacadeBase SecurityCheck Begin
2018-01-11 17:43:44.7539 DESKTOP-2Q89F24 9 SRS1 ::1 FacadeBase SecurityCheck End
2018-01-11 17:43:44.7539 DESKTOP-2Q89F24 9 SRS1 ::1 LoginFacade RegulationCheck Begin
2018-01-11 17:43:44.7539 DESKTOP-2Q89F24 9 SRS1 ::1 LoginFacade RegulationCheck End
2018-01-11 17:43:44.7539 DESKTOP-2Q89F24 9 SRS1 ::1 LoginFacade GetPermission Begin
2018-01-11 17:43:44.7539 DESKTOP-2Q89F24 9 SRS1 ::1 LoginFacade GetPermission End
2018-01-11 17:43:44.7539 DESKTOP-2Q89F24 9 SRS1 ::1 ZZ1031DetailFacade Index Begin
2018-01-11 17:44:09.8539 DESKTOP-2Q89F24 8 SRS1 ::1 FacadeBase Authentication Begin
2018-01-11 17:44:09.8539 DESKTOP-2Q89F24 8 SRS1 ::1 FacadeBase Authentication End
2018-01-11 17:44:09.8539 DESKTOP-2Q89F24 8 SRS1 ::1 FacadeBase SecurityCheck Begin
2018-01-11 17:44:09.8539 DESKTOP-2Q89F24 8 SRS1 ::1 FacadeBase SecurityCheck End
2018-01-11 17:44:09.8539 DESKTOP-2Q89F24 8 SRS1 ::1 LoginFacade RegulationCheck Begin
2018-01-11 17:44:09.8539 DESKTOP-2Q89F24 8 SRS1 ::1 LoginFacade RegulationCheck End
2018-01-11 17:44:09.8539 DESKTOP-2Q89F24 8 SRS1 ::1 LoginFacade GetPermission Begin
2018-01-11 17:44:09.8569 DESKTOP-2Q89F24 8 SRS1 ::1 LoginFacade GetPermission End
2018-01-11 17:44:09.8569 DESKTOP-2Q89F24 8 SRS1 ::1 ZZ1031SearchFacade Index Begin
2018-01-11 17:44:09.8569 DESKTOP-2Q89F24 8 SRS1 ::1 ZZ1031SearchFacade Index End
2018-01-11 17:44:12.0041 DESKTOP-2Q89F24 13 SRS1 ::1 FacadeBase Authentication Begin
2018-01-11 17:44:12.0041 DESKTOP-2Q89F24 13 SRS1 ::1 FacadeBase Authentication End
2018-01-11 17:44:12.0041 DESKTOP-2Q89F24 13 SRS1 ::1 FacadeBase SecurityCheck Begin
2018-01-11 17:44:12.0041 DESKTOP-2Q89F24 13 SRS1 ::1 FacadeBase SecurityCheck End
2018-01-11 17:44:12.0041 DESKTOP-2Q89F24 13 SRS1 ::1 LoginFacade RegulationCheck Begin
2018-01-11 17:44:12.0041 DESKTOP-2Q89F24 13 SRS1 ::1 LoginFacade RegulationCheck End
2018-01-11 17:44:12.0041 DESKTOP-2Q89F24 13 SRS1 ::1 LoginFacade GetPermission Begin
2018-01-11 17:44:12.0041 DESKTOP-2Q89F24 13 SRS1 ::1 LoginFacade GetPermission End
2018-01-11 17:44:12.0041 DESKTOP-2Q89F24 13 SRS1 ::1 ZZ1031SearchFacade Search Begin
2018-01-11 17:44:12.0150 DESKTOP-2Q89F24 13 SRS1 ::1 ZZ1031SearchFacade Search End
2018-01-11 17:44:12.0150 DESKTOP-2Q89F24 10 SRS1 ::1 FacadeBase Authentication Begin
2018-01-11 17:44:12.0150 DESKTOP-2Q89F24 10 SRS1 ::1 FacadeBase Authentication End
2018-01-11 17:44:12.0150 DESKTOP-2Q89F24 10 SRS1 ::1 FacadeBase SecurityCheck Begin
2018-01-11 17:44:12.0150 DESKTOP-2Q89F24 10 SRS1 ::1 FacadeBase SecurityCheck End
2018-01-11 17:44:12.0150 DESKTOP-2Q89F24 10 SRS1 ::1 LoginFacade RegulationCheck Begin
2018-01-11 17:44:12.0150 DESKTOP-2Q89F24 10 SRS1 ::1 LoginFacade RegulationCheck End
2018-01-11 17:44:12.0150 DESKTOP-2Q89F24 10 SRS1 ::1 LoginFacade GetPermission Begin
2018-01-11 17:44:12.0150 DESKTOP-2Q89F24 10 SRS1 ::1 LoginFacade GetPermission End
2018-01-11 17:44:12.0150 DESKTOP-2Q89F24 10 SRS1 ::1 ZZ1031DetailFacade Index Begin
2018-01-11 17:48:58.8765 DESKTOP-2Q89F24 12 SRS1 ::1 FacadeBase Login Begin
2018-01-11 17:48:58.9045 DESKTOP-2Q89F24 12 SRS1 ::1 FacadeBase Login End
2018-01-11 17:48:59.0376 DESKTOP-2Q89F24 5 SRS1 ::1 FacadeBase Authentication Begin
2018-01-11 17:48:59.0376 DESKTOP-2Q89F24 5 SRS1 ::1 FacadeBase Authentication End
2018-01-11 17:48:59.0376 DESKTOP-2Q89F24 5 SRS1 ::1 MenuFacade Init Begin
2018-01-11 17:48:59.0946 DESKTOP-2Q89F24 5 SRS1 ::1 MenuFacade Init End
2018-01-11 17:49:02.1931 DESKTOP-2Q89F24 10 SRS1 ::1 FacadeBase Authentication Begin
2018-01-11 17:49:02.1931 DESKTOP-2Q89F24 10 SRS1 ::1 FacadeBase Authentication End
2018-01-11 17:49:02.1931 DESKTOP-2Q89F24 10 SRS1 ::1 FacadeBase SecurityCheck Begin
2018-01-11 17:49:02.1931 DESKTOP-2Q89F24 10 SRS1 ::1 FacadeBase SecurityCheck End
2018-01-11 17:49:02.1931 DESKTOP-2Q89F24 10 SRS1 ::1 LoginFacade RegulationCheck Begin
2018-01-11 17:49:02.1931 DESKTOP-2Q89F24 10 SRS1 ::1 LoginFacade RegulationCheck End
2018-01-11 17:49:02.1931 DESKTOP-2Q89F24 10 SRS1 ::1 LoginFacade GetPermission Begin
2018-01-11 17:49:02.1931 DESKTOP-2Q89F24 10 SRS1 ::1 LoginFacade GetPermission End
2018-01-11 17:49:02.1931 DESKTOP-2Q89F24 10 SRS1 ::1 ZZ1031SearchFacade Index Begin
2018-01-11 17:49:02.4093 DESKTOP-2Q89F24 10 SRS1 ::1 ZZ1031SearchFacade Index End
2018-01-11 17:49:07.9104 DESKTOP-2Q89F24 12 SRS1 ::1 FacadeBase Authentication Begin
2018-01-11 17:49:07.9104 DESKTOP-2Q89F24 12 SRS1 ::1 FacadeBase Authentication End
2018-01-11 17:49:07.9104 DESKTOP-2Q89F24 12 SRS1 ::1 FacadeBase SecurityCheck Begin
2018-01-11 17:49:07.9104 DESKTOP-2Q89F24 12 SRS1 ::1 FacadeBase SecurityCheck End
2018-01-11 17:49:07.9104 DESKTOP-2Q89F24 12 SRS1 ::1 LoginFacade RegulationCheck Begin
2018-01-11 17:49:07.9104 DESKTOP-2Q89F24 12 SRS1 ::1 LoginFacade RegulationCheck End
2018-01-11 17:49:07.9104 DESKTOP-2Q89F24 12 SRS1 ::1 LoginFacade GetPermission Begin
2018-01-11 17:49:07.9104 DESKTOP-2Q89F24 12 SRS1 ::1 LoginFacade GetPermission End
2018-01-11 17:49:07.9104 DESKTOP-2Q89F24 12 SRS1 ::1 ZZ1031SearchFacade Search Begin
2018-01-11 17:49:07.9404 DESKTOP-2Q89F24 12 SRS1 ::1 ZZ1031SearchFacade Search End
2018-01-11 17:49:08.1295 DESKTOP-2Q89F24 8 SRS1 ::1 FacadeBase Authentication Begin
2018-01-11 17:49:08.1295 DESKTOP-2Q89F24 8 SRS1 ::1 FacadeBase Authentication End
2018-01-11 17:49:08.1295 DESKTOP-2Q89F24 8 SRS1 ::1 FacadeBase SecurityCheck Begin
2018-01-11 17:49:08.1295 DESKTOP-2Q89F24 8 SRS1 ::1 FacadeBase SecurityCheck End
2018-01-11 17:49:08.1295 DESKTOP-2Q89F24 8 SRS1 ::1 LoginFacade RegulationCheck Begin
2018-01-11 17:49:08.1295 DESKTOP-2Q89F24 8 SRS1 ::1 LoginFacade RegulationCheck End
2018-01-11 17:49:08.1295 DESKTOP-2Q89F24 8 SRS1 ::1 LoginFacade GetPermission Begin
2018-01-11 17:49:08.1295 DESKTOP-2Q89F24 8 SRS1 ::1 LoginFacade GetPermission End
2018-01-11 17:49:08.1385 DESKTOP-2Q89F24 8 SRS1 ::1 ZZ1031DetailFacade Index Begin
