2018-01-17 08:40:19.7280 DESKTOP-2Q89F24 14  ::1 FacadeBase Login Begin
2018-01-17 08:40:19.7760 DESKTOP-2Q89F24 14  ::1 FacadeBase Login End
2018-01-17 08:40:19.8570 DESKTOP-2Q89F24 14 SRS1 ::1 FacadeBase Authentication Begin
2018-01-17 08:40:19.8570 DESKTOP-2Q89F24 14 SRS1 ::1 FacadeBase Authentication End
2018-01-17 08:40:19.8570 DESKTOP-2Q89F24 14 SRS1 ::1 MenuFacade Init Begin
2018-01-17 08:40:19.9151 DESKTOP-2Q89F24 14 SRS1 ::1 MenuFacade Init End
2018-01-17 08:40:33.7558 DESKTOP-2Q89F24 8 SRS1 ::1 FacadeBase Authentication Begin
2018-01-17 08:40:33.7578 DESKTOP-2Q89F24 8 SRS1 ::1 FacadeBase Authentication End
2018-01-17 08:40:33.7578 DESKTOP-2Q89F24 8 SRS1 ::1 FacadeBase SecurityCheck Begin
2018-01-17 08:40:33.7578 DESKTOP-2Q89F24 8 SRS1 ::1 FacadeBase SecurityCheck End
2018-01-17 08:40:33.7578 DESKTOP-2Q89F24 8 SRS1 ::1 LoginFacade RegulationCheck Begin
2018-01-17 08:40:33.7578 DESKTOP-2Q89F24 8 SRS1 ::1 LoginFacade RegulationCheck End
2018-01-17 08:40:33.7578 DESKTOP-2Q89F24 8 SRS1 ::1 LoginFacade GetPermission Begin
2018-01-17 08:40:33.7578 DESKTOP-2Q89F24 8 SRS1 ::1 LoginFacade GetPermission End
2018-01-17 08:40:33.7578 DESKTOP-2Q89F24 8 SRS1 ::1 ZZ1031SearchFacade Index Begin
2018-01-17 08:40:33.9869 DESKTOP-2Q89F24 8 SRS1 ::1 ZZ1031SearchFacade Index End
2018-01-17 08:40:40.3761 DESKTOP-2Q89F24 8 SRS1 ::1 FacadeBase Authentication Begin
2018-01-17 08:40:40.3761 DESKTOP-2Q89F24 8 SRS1 ::1 FacadeBase Authentication End
2018-01-17 08:40:40.3761 DESKTOP-2Q89F24 8 SRS1 ::1 FacadeBase SecurityCheck Begin
2018-01-17 08:40:40.3761 DESKTOP-2Q89F24 8 SRS1 ::1 FacadeBase SecurityCheck End
2018-01-17 08:40:40.3761 DESKTOP-2Q89F24 8 SRS1 ::1 LoginFacade RegulationCheck Begin
2018-01-17 08:40:40.3761 DESKTOP-2Q89F24 8 SRS1 ::1 LoginFacade RegulationCheck End
2018-01-17 08:40:40.3761 DESKTOP-2Q89F24 8 SRS1 ::1 LoginFacade GetPermission Begin
2018-01-17 08:40:40.3761 DESKTOP-2Q89F24 8 SRS1 ::1 LoginFacade GetPermission End
2018-01-17 08:40:40.3761 DESKTOP-2Q89F24 8 SRS1 ::1 ZZ1031SearchFacade Search Begin
2018-01-17 08:40:40.4611 DESKTOP-2Q89F24 8 SRS1 ::1 ZZ1031SearchFacade Search End
2018-01-17 08:40:40.5101 DESKTOP-2Q89F24 15 SRS1 ::1 FacadeBase Authentication Begin
2018-01-17 08:40:40.5101 DESKTOP-2Q89F24 15 SRS1 ::1 FacadeBase Authentication End
2018-01-17 08:40:40.5101 DESKTOP-2Q89F24 15 SRS1 ::1 FacadeBase SecurityCheck Begin
2018-01-17 08:40:40.5101 DESKTOP-2Q89F24 15 SRS1 ::1 FacadeBase SecurityCheck End
2018-01-17 08:40:40.5231 DESKTOP-2Q89F24 15 SRS1 ::1 LoginFacade RegulationCheck Begin
2018-01-17 08:40:40.5231 DESKTOP-2Q89F24 15 SRS1 ::1 LoginFacade RegulationCheck End
2018-01-17 08:40:40.5231 DESKTOP-2Q89F24 15 SRS1 ::1 LoginFacade GetPermission Begin
2018-01-17 08:40:40.5231 DESKTOP-2Q89F24 15 SRS1 ::1 LoginFacade GetPermission End
2018-01-17 08:40:40.5231 DESKTOP-2Q89F24 15 SRS1 ::1 ZZ1031DetailFacade Index Begin
2018-01-17 08:40:40.7351 DESKTOP-2Q89F24 15 SRS1 ::1 ZZ1031DetailFacade Index End
