2018-01-16 10:06:25.5619 DESKTOP-2Q89F24 17  ::1 LoginRule CheckLoginFailedLockDown Begin
2018-01-16 10:06:25.5619 DESKTOP-2Q89F24 17  ::1 LoginRule CheckLoginFailedLockDown End
2018-01-16 10:06:25.5619 DESKTOP-2Q89F24 17  ::1 LoginRule GetAuthentication Begin
2018-01-16 10:06:25.5704 DESKTOP-2Q89F24 17  ::1 LoginRule GetAuthentication End
2018-01-16 10:06:25.5704 DESKTOP-2Q89F24 17  ::1 LoginRule ClearLoginFailedCount Begin
2018-01-16 10:06:25.5704 DESKTOP-2Q89F24 17  ::1 LoginRule ClearLoginFailedCount End
2018-01-16 10:06:25.5704 DESKTOP-2Q89F24 17  ::1 LoginRule SetUserInfo Begin
2018-01-16 10:06:25.5859 DESKTOP-2Q89F24 17  ::1 LoginRule SetUserInfo End
2018-01-16 10:06:25.7114 DESKTOP-2Q89F24 12 SRS1 ::1 MenuRule GetMenuData Begin
2018-01-16 10:06:25.7909 DESKTOP-2Q89F24 12 SRS1 ::1 MenuRule GetMenuData End
2018-01-16 10:06:25.7909 DESKTOP-2Q89F24 12 SRS1 ::1 MenuRule GetNoticeData Begin
2018-01-16 10:06:25.7909 DESKTOP-2Q89F24 12 SRS1 ::1 MenuRule GetNoticeData End
2018-01-16 10:06:37.3693 DESKTOP-2Q89F24 7 SRS1 ::1 LoginRule OnRegulationCheck Begin
2018-01-16 10:06:37.3693 DESKTOP-2Q89F24 7 SRS1 ::1 LoginRule OnRegulationCheck End
2018-01-16 10:06:37.3848 DESKTOP-2Q89F24 7 SRS1 ::1 ZZ1031SearchRule Init Begin
2018-01-16 10:06:37.3848 DESKTOP-2Q89F24 7 SRS1 ::1 ZZ1031SearchRule Init End
2018-01-16 10:06:37.3848 DESKTOP-2Q89F24 7 SRS1 ::1 ZZ1031SearchRule GetCommonData Begin
2018-01-16 10:06:37.6823 DESKTOP-2Q89F24 7 SRS1 ::1 ZZ1031SearchRule GetCommonData End
2018-01-16 10:07:09.2847 DESKTOP-2Q89F24 21 SRS1 ::1 LoginRule OnRegulationCheck Begin
2018-01-16 10:07:09.2847 DESKTOP-2Q89F24 21 SRS1 ::1 LoginRule OnRegulationCheck End
2018-01-16 10:07:09.2847 DESKTOP-2Q89F24 21 SRS1 ::1 ZZ1031SearchRule GetCommonData Begin
2018-01-16 10:07:09.3927 DESKTOP-2Q89F24 21 SRS1 ::1 ZZ1031SearchRule GetCommonData End
2018-01-16 10:07:09.3987 DESKTOP-2Q89F24 21 SRS1 ::1 RuleBase HasSearchPermission Begin
2018-01-16 10:07:09.3987 DESKTOP-2Q89F24 21 SRS1 ::1 RuleBase HasSearchPermission End
2018-01-16 10:07:09.3987 DESKTOP-2Q89F24 21 SRS1 ::1 ZZ1031SearchRule CheckCondition Begin
2018-01-16 10:07:09.3987 DESKTOP-2Q89F24 21 SRS1 ::1 ZZ1031SearchRule CheckCondition End
2018-01-16 10:07:09.3987 DESKTOP-2Q89F24 21 SRS1 ::1 ZZ1031SearchRule Search Begin
2018-01-16 10:07:09.3987 DESKTOP-2Q89F24 21 SRS1 ::1 ZZ1031SearchRule Search End
2018-01-16 10:07:09.4532 DESKTOP-2Q89F24 5 SRS1 ::1 LoginRule OnRegulationCheck Begin
2018-01-16 10:07:09.4532 DESKTOP-2Q89F24 5 SRS1 ::1 LoginRule OnRegulationCheck End
2018-01-16 10:07:09.4662 DESKTOP-2Q89F24 5 SRS1 ::1 ZZ1031DetailRule Init Begin
2018-01-16 10:07:09.5902 DESKTOP-2Q89F24 5 SRS1 ::1 ZZ1031DetailRule Init End
2018-01-16 10:07:09.5902 DESKTOP-2Q89F24 5 SRS1 ::1 ZZ1031DetailRule GetCommonData Begin
2018-01-16 10:07:09.6712 DESKTOP-2Q89F24 5 SRS1 ::1 ZZ1031DetailRule GetCommonData End
