2018-01-15 08:28:27.6865 DESKTOP-2Q89F24 16  ::1 FacadeBase Login Begin
2018-01-15 08:28:28.0668 DESKTOP-2Q89F24 16  ::1 FacadeBase Login End
2018-01-15 08:28:28.1698 DESKTOP-2Q89F24 5 SRS1 ::1 FacadeBase Authentication Begin
2018-01-15 08:28:28.1698 DESKTOP-2Q89F24 5 SRS1 ::1 FacadeBase Authentication End
2018-01-15 08:28:28.1698 DESKTOP-2Q89F24 5 SRS1 ::1 MenuFacade Init Begin
2018-01-15 08:28:28.2638 DESKTOP-2Q89F24 5 SRS1 ::1 MenuFacade Init End
2018-01-15 08:28:31.4123 DESKTOP-2Q89F24 6 SRS1 ::1 FacadeBase Authentication Begin
2018-01-15 08:28:31.4123 DESKTOP-2Q89F24 6 SRS1 ::1 FacadeBase Authentication End
2018-01-15 08:28:31.4123 DESKTOP-2Q89F24 6 SRS1 ::1 FacadeBase SecurityCheck Begin
2018-01-15 08:28:31.4193 DESKTOP-2Q89F24 6 SRS1 ::1 FacadeBase SecurityCheck End
2018-01-15 08:28:31.4193 DESKTOP-2Q89F24 6 SRS1 ::1 LoginFacade RegulationCheck Begin
2018-01-15 08:28:31.4193 DESKTOP-2Q89F24 6 SRS1 ::1 LoginFacade RegulationCheck End
2018-01-15 08:28:31.4193 DESKTOP-2Q89F24 6 SRS1 ::1 LoginFacade GetPermission Begin
2018-01-15 08:28:31.4193 DESKTOP-2Q89F24 6 SRS1 ::1 LoginFacade GetPermission End
2018-01-15 08:28:31.4193 DESKTOP-2Q89F24 6 SRS1 ::1 ZZ1031SearchFacade Index Begin
2018-01-15 08:28:31.4561 DESKTOP-2Q89F24 6 SRS1 ::1 ZZ1031SearchFacade Index End
2018-01-15 08:29:12.8052 DESKTOP-2Q89F24 15 SRS1 ::1 FacadeBase Authentication Begin
2018-01-15 08:29:12.8052 DESKTOP-2Q89F24 15 SRS1 ::1 FacadeBase Authentication End
2018-01-15 08:29:12.8052 DESKTOP-2Q89F24 15 SRS1 ::1 FacadeBase SecurityCheck Begin
2018-01-15 08:29:12.8052 DESKTOP-2Q89F24 15 SRS1 ::1 FacadeBase SecurityCheck End
2018-01-15 08:29:12.8052 DESKTOP-2Q89F24 15 SRS1 ::1 LoginFacade RegulationCheck Begin
2018-01-15 08:29:12.8052 DESKTOP-2Q89F24 15 SRS1 ::1 LoginFacade RegulationCheck End
2018-01-15 08:29:12.8052 DESKTOP-2Q89F24 15 SRS1 ::1 LoginFacade GetPermission Begin
2018-01-15 08:29:12.8052 DESKTOP-2Q89F24 15 SRS1 ::1 LoginFacade GetPermission End
2018-01-15 08:29:12.8052 DESKTOP-2Q89F24 15 SRS1 ::1 ZZ1031SearchFacade Search Begin
2018-01-15 08:29:12.8122 DESKTOP-2Q89F24 15 SRS1 ::1 ZZ1031SearchFacade Search End
2018-01-15 08:29:12.8592 DESKTOP-2Q89F24 15 SRS1 ::1 FacadeBase Authentication Begin
2018-01-15 08:29:12.8592 DESKTOP-2Q89F24 15 SRS1 ::1 FacadeBase Authentication End
2018-01-15 08:29:12.8592 DESKTOP-2Q89F24 15 SRS1 ::1 FacadeBase SecurityCheck Begin
2018-01-15 08:29:12.8592 DESKTOP-2Q89F24 15 SRS1 ::1 FacadeBase SecurityCheck End
2018-01-15 08:29:12.8592 DESKTOP-2Q89F24 15 SRS1 ::1 LoginFacade RegulationCheck Begin
2018-01-15 08:29:12.8592 DESKTOP-2Q89F24 15 SRS1 ::1 LoginFacade RegulationCheck End
2018-01-15 08:29:12.8592 DESKTOP-2Q89F24 15 SRS1 ::1 LoginFacade GetPermission Begin
2018-01-15 08:29:12.8592 DESKTOP-2Q89F24 15 SRS1 ::1 LoginFacade GetPermission End
2018-01-15 08:29:12.8592 DESKTOP-2Q89F24 15 SRS1 ::1 ZZ1031DetailFacade Index Begin
2018-01-15 08:29:12.9192 DESKTOP-2Q89F24 15 SRS1 ::1 ZZ1031DetailFacade Index End
2018-01-15 08:54:15.0137 DESKTOP-2Q89F24 8  ::1 FacadeBase Login Begin
2018-01-15 08:54:15.0597 DESKTOP-2Q89F24 8  ::1 FacadeBase Login End
2018-01-15 08:54:15.2812 DESKTOP-2Q89F24 7 SRS1 ::1 FacadeBase Authentication Begin
2018-01-15 08:54:15.2812 DESKTOP-2Q89F24 7 SRS1 ::1 FacadeBase Authentication End
2018-01-15 08:54:15.2812 DESKTOP-2Q89F24 7 SRS1 ::1 MenuFacade Init Begin
2018-01-15 08:54:15.3107 DESKTOP-2Q89F24 7 SRS1 ::1 MenuFacade Init End
2018-01-15 08:54:45.0137 DESKTOP-2Q89F24 11  ::1 FacadeBase Login Begin
2018-01-15 08:54:45.0137 DESKTOP-2Q89F24 11  ::1 FacadeBase Login End
2018-01-15 08:54:45.1607 DESKTOP-2Q89F24 12 SRS1 ::1 FacadeBase Authentication Begin
2018-01-15 08:54:45.1607 DESKTOP-2Q89F24 12 SRS1 ::1 FacadeBase Authentication End
2018-01-15 08:54:45.1607 DESKTOP-2Q89F24 12 SRS1 ::1 MenuFacade Init Begin
2018-01-15 08:54:45.2817 DESKTOP-2Q89F24 12 SRS1 ::1 MenuFacade Init End
2018-01-15 08:54:50.2487 DESKTOP-2Q89F24 7 SRS1 ::1 FacadeBase Authentication Begin
2018-01-15 08:54:50.2487 DESKTOP-2Q89F24 7 SRS1 ::1 FacadeBase Authentication End
2018-01-15 08:54:50.2487 DESKTOP-2Q89F24 7 SRS1 ::1 FacadeBase SecurityCheck Begin
