2018-01-18 15:10:36.4001 DESKTOP-2Q89F24 5 SRS1 ::1 FacadeBase Authentication Begin
2018-01-18 15:10:36.4001 DESKTOP-2Q89F24 5 SRS1 ::1 FacadeBase Authentication End
2018-01-18 15:10:36.4001 DESKTOP-2Q89F24 5 SRS1 ::1 FacadeBase SecurityCheck Begin
2018-01-18 15:10:36.4001 DESKTOP-2Q89F24 5 SRS1 ::1 FacadeBase SecurityCheck End
2018-01-18 15:10:36.4001 DESKTOP-2Q89F24 5 SRS1 ::1 LoginFacade RegulationCheck Begin
2018-01-18 15:10:36.4001 DESKTOP-2Q89F24 5 SRS1 ::1 LoginFacade RegulationCheck End
2018-01-18 15:10:36.4001 DESKTOP-2Q89F24 5 SRS1 ::1 LoginFacade GetPermission Begin
2018-01-18 15:10:36.4001 DESKTOP-2Q89F24 5 SRS1 ::1 LoginFacade GetPermission End
2018-01-18 15:10:36.4001 DESKTOP-2Q89F24 5 SRS1 ::1 ZZ1031DetailFacade Index Begin
2018-01-18 15:10:36.5246 DESKTOP-2Q89F24 5 SRS1 ::1 ZZ1031DetailFacade Index End
2018-01-18 15:11:04.5572 DESKTOP-2Q89F24 15 SRS1 ::1 FacadeBase Authentication Begin
2018-01-18 15:11:04.5572 DESKTOP-2Q89F24 15 SRS1 ::1 FacadeBase Authentication End
2018-01-18 15:11:04.5572 DESKTOP-2Q89F24 15 SRS1 ::1 FacadeBase SecurityCheck Begin
2018-01-18 15:11:04.5572 DESKTOP-2Q89F24 15 SRS1 ::1 FacadeBase SecurityCheck End
2018-01-18 15:11:04.5572 DESKTOP-2Q89F24 15 SRS1 ::1 LoginFacade RegulationCheck Begin
2018-01-18 15:11:04.5572 DESKTOP-2Q89F24 15 SRS1 ::1 LoginFacade RegulationCheck End
2018-01-18 15:11:04.5572 DESKTOP-2Q89F24 15 SRS1 ::1 LoginFacade GetPermission Begin
2018-01-18 15:11:04.5572 DESKTOP-2Q89F24 15 SRS1 ::1 LoginFacade GetPermission End
2018-01-18 15:11:04.5572 DESKTOP-2Q89F24 15 SRS1 ::1 ZZ1031DetailFacade Confirm Begin
2018-01-18 15:11:04.6677 DESKTOP-2Q89F24 15 SRS1 ::1 ZZ1031DetailFacade Confirm End
2018-01-18 15:16:10.0263 DESKTOP-2Q89F24 13  ::1 FacadeBase Login Begin
2018-01-18 15:16:10.0703 DESKTOP-2Q89F24 13  ::1 FacadeBase Login End
2018-01-18 15:16:10.1793 DESKTOP-2Q89F24 13 SRS1 ::1 FacadeBase Authentication Begin
2018-01-18 15:16:10.1793 DESKTOP-2Q89F24 13 SRS1 ::1 FacadeBase Authentication End
2018-01-18 15:16:10.1793 DESKTOP-2Q89F24 13 SRS1 ::1 MenuFacade Init Begin
2018-01-18 15:16:10.2443 DESKTOP-2Q89F24 13 SRS1 ::1 MenuFacade Init End
2018-01-18 15:16:15.5903 DESKTOP-2Q89F24 8 SRS1 ::1 FacadeBase Authentication Begin
2018-01-18 15:16:15.5903 DESKTOP-2Q89F24 8 SRS1 ::1 FacadeBase Authentication End
2018-01-18 15:16:15.5903 DESKTOP-2Q89F24 8 SRS1 ::1 FacadeBase SecurityCheck Begin
2018-01-18 15:16:15.5903 DESKTOP-2Q89F24 8 SRS1 ::1 FacadeBase SecurityCheck End
2018-01-18 15:16:15.5903 DESKTOP-2Q89F24 8 SRS1 ::1 LoginFacade RegulationCheck Begin
2018-01-18 15:16:15.5903 DESKTOP-2Q89F24 8 SRS1 ::1 LoginFacade RegulationCheck End
2018-01-18 15:16:15.5903 DESKTOP-2Q89F24 8 SRS1 ::1 LoginFacade GetPermission Begin
2018-01-18 15:16:15.5903 DESKTOP-2Q89F24 8 SRS1 ::1 LoginFacade GetPermission End
2018-01-18 15:16:15.5903 DESKTOP-2Q89F24 8 SRS1 ::1 ZZ1031SearchFacade Index Begin
2018-01-18 15:16:16.2263 DESKTOP-2Q89F24 8 SRS1 ::1 ZZ1031SearchFacade Index End
2018-01-18 15:19:59.2065 DESKTOP-2Q89F24 9 SRS1 ::1 FacadeBase Authentication Begin
2018-01-18 15:19:59.2065 DESKTOP-2Q89F24 9 SRS1 ::1 FacadeBase Authentication End
2018-01-18 15:19:59.2065 DESKTOP-2Q89F24 9 SRS1 ::1 FacadeBase SecurityCheck Begin
2018-01-18 15:19:59.2065 DESKTOP-2Q89F24 9 SRS1 ::1 FacadeBase SecurityCheck End
2018-01-18 15:19:59.2065 DESKTOP-2Q89F24 9 SRS1 ::1 LoginFacade RegulationCheck Begin
2018-01-18 15:19:59.2065 DESKTOP-2Q89F24 9 SRS1 ::1 LoginFacade RegulationCheck End
2018-01-18 15:19:59.2065 DESKTOP-2Q89F24 9 SRS1 ::1 LoginFacade GetPermission Begin
2018-01-18 15:19:59.2105 DESKTOP-2Q89F24 9 SRS1 ::1 LoginFacade GetPermission End
2018-01-18 15:19:59.2455 DESKTOP-2Q89F24 8 SRS1 ::1 FacadeBase Authentication Begin
2018-01-18 15:19:59.2455 DESKTOP-2Q89F24 8 SRS1 ::1 FacadeBase Authentication End
2018-01-18 15:19:59.2455 DESKTOP-2Q89F24 8 SRS1 ::1 FacadeBase SecurityCheck Begin
2018-01-18 15:19:59.2455 DESKTOP-2Q89F24 8 SRS1 ::1 FacadeBase SecurityCheck End
2018-01-18 15:19:59.2455 DESKTOP-2Q89F24 8 SRS1 ::1 LoginFacade RegulationCheck Begin
2018-01-18 15:19:59.2455 DESKTOP-2Q89F24 8 SRS1 ::1 LoginFacade RegulationCheck End
