2018-01-11 17:43:36.9865 DESKTOP-2Q89F24 12  ::1 LoginRule CheckLoginFailedLockDown Begin
2018-01-11 17:43:36.9865 DESKTOP-2Q89F24 12  ::1 LoginRule CheckLoginFailedLockDown End
2018-01-11 17:43:36.9865 DESKTOP-2Q89F24 12  ::1 LoginRule GetAuthentication Begin
2018-01-11 17:43:36.9865 DESKTOP-2Q89F24 12  ::1 LoginRule GetAuthentication End
2018-01-11 17:43:36.9865 DESKTOP-2Q89F24 12  ::1 LoginRule ClearLoginFailedCount Begin
2018-01-11 17:43:36.9865 DESKTOP-2Q89F24 12  ::1 LoginRule ClearLoginFailedCount End
2018-01-11 17:43:36.9865 DESKTOP-2Q89F24 12  ::1 LoginRule SetUserInfo Begin
2018-01-11 17:43:36.9865 DESKTOP-2Q89F24 12  ::1 LoginRule SetUserInfo End
2018-01-11 17:43:36.9975 DESKTOP-2Q89F24 13 SRS1 ::1 MenuRule GetMenuData Begin
2018-01-11 17:43:37.0445 DESKTOP-2Q89F24 13 SRS1 ::1 MenuRule GetMenuData End
2018-01-11 17:43:37.0445 DESKTOP-2Q89F24 13 SRS1 ::1 MenuRule GetNoticeData Begin
2018-01-11 17:43:37.0445 DESKTOP-2Q89F24 13 SRS1 ::1 MenuRule GetNoticeData End
2018-01-11 17:43:40.8729 DESKTOP-2Q89F24 8 SRS1 ::1 LoginRule OnRegulationCheck Begin
2018-01-11 17:43:40.8729 DESKTOP-2Q89F24 8 SRS1 ::1 LoginRule OnRegulationCheck End
2018-01-11 17:43:40.8729 DESKTOP-2Q89F24 8 SRS1 ::1 ZZ1031SearchRule Init Begin
2018-01-11 17:43:40.8729 DESKTOP-2Q89F24 8 SRS1 ::1 ZZ1031SearchRule Init End
2018-01-11 17:43:40.8729 DESKTOP-2Q89F24 8 SRS1 ::1 ZZ1031SearchRule GetCommonData Begin
2018-01-11 17:43:40.9131 DESKTOP-2Q89F24 8 SRS1 ::1 ZZ1031SearchRule GetCommonData End
2018-01-11 17:43:44.7009 DESKTOP-2Q89F24 9 SRS1 ::1 LoginRule OnRegulationCheck Begin
2018-01-11 17:43:44.7009 DESKTOP-2Q89F24 9 SRS1 ::1 LoginRule OnRegulationCheck End
2018-01-11 17:43:44.7009 DESKTOP-2Q89F24 9 SRS1 ::1 ZZ1031SearchRule GetCommonData Begin
2018-01-11 17:43:44.7009 DESKTOP-2Q89F24 9 SRS1 ::1 ZZ1031SearchRule GetCommonData End
2018-01-11 17:43:44.7009 DESKTOP-2Q89F24 9 SRS1 ::1 RuleBase HasSearchPermission Begin
2018-01-11 17:43:44.7009 DESKTOP-2Q89F24 9 SRS1 ::1 RuleBase HasSearchPermission End
2018-01-11 17:43:44.7009 DESKTOP-2Q89F24 9 SRS1 ::1 ZZ1031SearchRule CheckCondition Begin
2018-01-11 17:43:44.7179 DESKTOP-2Q89F24 9 SRS1 ::1 ZZ1031SearchRule CheckCondition End
2018-01-11 17:43:44.7179 DESKTOP-2Q89F24 9 SRS1 ::1 ZZ1031SearchRule Search Begin
2018-01-11 17:43:44.7179 DESKTOP-2Q89F24 9 SRS1 ::1 ZZ1031SearchRule Search End
2018-01-11 17:43:44.7539 DESKTOP-2Q89F24 9 SRS1 ::1 LoginRule OnRegulationCheck Begin
2018-01-11 17:43:44.7539 DESKTOP-2Q89F24 9 SRS1 ::1 LoginRule OnRegulationCheck End
2018-01-11 17:43:44.7539 DESKTOP-2Q89F24 9 SRS1 ::1 ZZ1031DetailRule Init Begin
2018-01-11 17:43:44.7954 DESKTOP-2Q89F24 9 SRS1 ::1 ZZ1031DetailRule Init End
2018-01-11 17:43:44.7954 DESKTOP-2Q89F24 9 SRS1 ::1 ZZ1031DetailRule GetCommonData Begin
2018-01-11 17:44:09.8539 DESKTOP-2Q89F24 8 SRS1 ::1 LoginRule OnRegulationCheck Begin
2018-01-11 17:44:09.8539 DESKTOP-2Q89F24 8 SRS1 ::1 LoginRule OnRegulationCheck End
2018-01-11 17:44:09.8569 DESKTOP-2Q89F24 8 SRS1 ::1 ZZ1031SearchRule Init Begin
2018-01-11 17:44:09.8569 DESKTOP-2Q89F24 8 SRS1 ::1 ZZ1031SearchRule Init End
2018-01-11 17:44:09.8569 DESKTOP-2Q89F24 8 SRS1 ::1 ZZ1031SearchRule GetCommonData Begin
2018-01-11 17:44:09.8569 DESKTOP-2Q89F24 8 SRS1 ::1 ZZ1031SearchRule GetCommonData End
2018-01-11 17:44:12.0041 DESKTOP-2Q89F24 13 SRS1 ::1 LoginRule OnRegulationCheck Begin
2018-01-11 17:44:12.0041 DESKTOP-2Q89F24 13 SRS1 ::1 LoginRule OnRegulationCheck End
2018-01-11 17:44:12.0041 DESKTOP-2Q89F24 13 SRS1 ::1 ZZ1031SearchRule GetCommonData Begin
2018-01-11 17:44:12.0150 DESKTOP-2Q89F24 13 SRS1 ::1 ZZ1031SearchRule GetCommonData End
2018-01-11 17:44:12.0150 DESKTOP-2Q89F24 13 SRS1 ::1 RuleBase HasSearchPermission Begin
2018-01-11 17:44:12.0150 DESKTOP-2Q89F24 13 SRS1 ::1 RuleBase HasSearchPermission End
2018-01-11 17:44:12.0150 DESKTOP-2Q89F24 13 SRS1 ::1 ZZ1031SearchRule CheckCondition Begin
2018-01-11 17:44:12.0150 DESKTOP-2Q89F24 13 SRS1 ::1 ZZ1031SearchRule CheckCondition End
2018-01-11 17:44:12.0150 DESKTOP-2Q89F24 13 SRS1 ::1 ZZ1031SearchRule Search Begin
2018-01-11 17:44:12.0150 DESKTOP-2Q89F24 13 SRS1 ::1 ZZ1031SearchRule Search End
2018-01-11 17:44:12.0150 DESKTOP-2Q89F24 10 SRS1 ::1 LoginRule OnRegulationCheck Begin
2018-01-11 17:44:12.0150 DESKTOP-2Q89F24 10 SRS1 ::1 LoginRule OnRegulationCheck End
2018-01-11 17:44:12.0150 DESKTOP-2Q89F24 10 SRS1 ::1 ZZ1031DetailRule Init Begin
2018-01-11 17:44:12.0420 DESKTOP-2Q89F24 10 SRS1 ::1 ZZ1031DetailRule Init End
2018-01-11 17:44:12.0420 DESKTOP-2Q89F24 10 SRS1 ::1 ZZ1031DetailRule GetCommonData Begin
2018-01-11 17:48:58.9045 DESKTOP-2Q89F24 12 SRS1 ::1 LoginRule CheckLoginFailedLockDown Begin
