2018-01-16 10:06:25.5394 DESKTOP-2Q89F24 17  ::1 FacadeBase Login Begin
2018-01-16 10:06:25.6049 DESKTOP-2Q89F24 17  ::1 FacadeBase Login End
2018-01-16 10:06:25.7114 DESKTOP-2Q89F24 12 SRS1 ::1 FacadeBase Authentication Begin
2018-01-16 10:06:25.7114 DESKTOP-2Q89F24 12 SRS1 ::1 FacadeBase Authentication End
2018-01-16 10:06:25.7114 DESKTOP-2Q89F24 12 SRS1 ::1 MenuFacade Init Begin
2018-01-16 10:06:25.7909 DESKTOP-2Q89F24 12 SRS1 ::1 MenuFacade Init End
2018-01-16 10:06:37.3553 DESKTOP-2Q89F24 7 SRS1 ::1 FacadeBase Authentication Begin
2018-01-16 10:06:37.3553 DESKTOP-2Q89F24 7 SRS1 ::1 FacadeBase Authentication End
2018-01-16 10:06:37.3553 DESKTOP-2Q89F24 7 SRS1 ::1 FacadeBase SecurityCheck Begin
2018-01-16 10:06:37.3693 DESKTOP-2Q89F24 7 SRS1 ::1 FacadeBase SecurityCheck End
2018-01-16 10:06:37.3693 DESKTOP-2Q89F24 7 SRS1 ::1 LoginFacade RegulationCheck Begin
2018-01-16 10:06:37.3693 DESKTOP-2Q89F24 7 SRS1 ::1 LoginFacade RegulationCheck End
2018-01-16 10:06:37.3693 DESKTOP-2Q89F24 7 SRS1 ::1 LoginFacade GetPermission Begin
2018-01-16 10:06:37.3693 DESKTOP-2Q89F24 7 SRS1 ::1 LoginFacade GetPermission End
2018-01-16 10:06:37.3848 DESKTOP-2Q89F24 7 SRS1 ::1 ZZ1031SearchFacade Index Begin
2018-01-16 10:06:37.6823 DESKTOP-2Q89F24 7 SRS1 ::1 ZZ1031SearchFacade Index End
2018-01-16 10:07:09.2847 DESKTOP-2Q89F24 21 SRS1 ::1 FacadeBase Authentication Begin
2018-01-16 10:07:09.2847 DESKTOP-2Q89F24 21 SRS1 ::1 FacadeBase Authentication End
2018-01-16 10:07:09.2847 DESKTOP-2Q89F24 21 SRS1 ::1 FacadeBase SecurityCheck Begin
2018-01-16 10:07:09.2847 DESKTOP-2Q89F24 21 SRS1 ::1 FacadeBase SecurityCheck End
2018-01-16 10:07:09.2847 DESKTOP-2Q89F24 21 SRS1 ::1 LoginFacade RegulationCheck Begin
2018-01-16 10:07:09.2847 DESKTOP-2Q89F24 21 SRS1 ::1 LoginFacade RegulationCheck End
2018-01-16 10:07:09.2847 DESKTOP-2Q89F24 21 SRS1 ::1 LoginFacade GetPermission Begin
2018-01-16 10:07:09.2847 DESKTOP-2Q89F24 21 SRS1 ::1 LoginFacade GetPermission End
2018-01-16 10:07:09.2847 DESKTOP-2Q89F24 21 SRS1 ::1 ZZ1031SearchFacade Search Begin
2018-01-16 10:07:09.3987 DESKTOP-2Q89F24 21 SRS1 ::1 ZZ1031SearchFacade Search End
2018-01-16 10:07:09.4532 DESKTOP-2Q89F24 5 SRS1 ::1 FacadeBase Authentication Begin
2018-01-16 10:07:09.4532 DESKTOP-2Q89F24 5 SRS1 ::1 FacadeBase Authentication End
2018-01-16 10:07:09.4532 DESKTOP-2Q89F24 5 SRS1 ::1 FacadeBase SecurityCheck Begin
2018-01-16 10:07:09.4532 DESKTOP-2Q89F24 5 SRS1 ::1 FacadeBase SecurityCheck End
2018-01-16 10:07:09.4532 DESKTOP-2Q89F24 5 SRS1 ::1 LoginFacade RegulationCheck Begin
2018-01-16 10:07:09.4532 DESKTOP-2Q89F24 5 SRS1 ::1 LoginFacade RegulationCheck End
2018-01-16 10:07:09.4532 DESKTOP-2Q89F24 5 SRS1 ::1 LoginFacade GetPermission Begin
2018-01-16 10:07:09.4532 DESKTOP-2Q89F24 5 SRS1 ::1 LoginFacade GetPermission End
2018-01-16 10:07:09.4662 DESKTOP-2Q89F24 5 SRS1 ::1 ZZ1031DetailFacade Index Begin
2018-01-16 10:07:09.6712 DESKTOP-2Q89F24 5 SRS1 ::1 ZZ1031DetailFacade Index End
